game_id,date,home_team,away_team,home_score,away_score
0022500001,2025-10-21,Oklahoma City Thunder,Houston Rockets,125,124
0022500002,2025-10-21,Los Angeles Lakers,Golden State Warriors,109,119
0022500003,2025-10-22,New York Knicks,Cleveland Cavaliers,119,111
0022500004,2025-10-22,Dallas Mavericks,San Antonio Spurs,92,125
0022500005,2025-10-23,Indiana Pacers,Oklahoma City Thunder,135,141
0022500006,2025-10-23,Golden State Warriors,Denver Nuggets,137,131
0022500007,2025-10-27,Detroit Pistons,Cleveland Cavaliers,95,116
0022500008,2025-10-27,Minnesota Timberwolves,Denver Nuggets,114,127
0022500009,2025-12-25,New York Knicks,Cleveland Cavaliers,126,124
0022500010,2025-12-25,Oklahoma City Thunder,San Antonio Spurs,102,117
0022500011,2025-12-25,Golden State Warriors,Dallas Mavericks,126,116
0022500012,2025-12-25,Los Angeles Lakers,Houston Rockets,96,119
0022500013,2025-12-25,Denver Nuggets,Minnesota Timberwolves,142,138
0022500014,2026-01-19,Atlanta Hawks,Milwaukee Bucks,110,112
0022500015,2026-01-19,Cleveland Cavaliers,Oklahoma City Thunder,104,136
0022500016,2026-01-19,New York Knicks,Dallas Mavericks,97,114
0022500017,2026-01-19,Detroit Pistons,Boston Celtics,104,103
0022500018,2025-10-24,New York Knicks,Boston Celtics,105,95
0022500019,2025-10-24,Los Angeles Lakers,Minnesota Timberwolves,128,110
0022500020,2025-10-31,Indiana Pacers,Atlanta Hawks,108,128
0022500021,2025-10-31,Philadelphia 76ers,Boston Celtics,108,109
0022500022,2025-10-31,Cleveland Cavaliers,Toronto Raptors,101,112
0022500023,2025-10-31,Chicago Bulls,New York Knicks,135,125
0022500024,2025-10-31,Memphis Grizzlies,Los Angeles Lakers,112,117
0022500025,2025-10-31,Phoenix Suns,Utah Jazz,118,96
0022500026,2025-10-31,Portland Trail Blazers,Denver Nuggets,109,107
0022500027,2025-10-31,LA Clippers,New Orleans Pelicans,126,124
0022500028,2025-11-07,Orlando Magic,Boston Celtics,123,110
0022500029,2025-11-07,Washington Wizards,Cleveland Cavaliers,115,148
0022500030,2025-11-07,Atlanta Hawks,Toronto Raptors,97,109
0022500031,2025-11-07,Brooklyn Nets,Detroit Pistons,107,125
0022500032,2025-11-07,San Antonio Spurs,Houston Rockets,121,110
0022500033,2025-11-07,Miami Heat,Charlotte Hornets,126,108
0022500034,2025-11-07,Memphis Grizzlies,Dallas Mavericks,118,104
0022500035,2025-11-07,Milwaukee Bucks,Chicago Bulls,126,110
0022500036,2025-11-07,Minnesota Timberwolves,Utah Jazz,137,97
0022500037,2025-11-07,Denver Nuggets,Golden State Warriors,129,104
0022500038,2025-11-07,Sacramento Kings,Oklahoma City Thunder,101,132
0022500039,2025-11-14,New York Knicks,Miami Heat,140,132
0022500040,2025-11-14,Orlando Magic,Brooklyn Nets,105,98
0022500041,2025-11-14,Detroit Pistons,Philadelphia 76ers,114,105
0022500042,2025-11-14,Houston Rockets,Portland Trail Blazers,140,116
0022500043,2025-11-14,Milwaukee Bucks,Charlotte Hornets,147,134
0022500044,2025-11-14,Minnesota Timberwolves,Sacramento Kings,124,110
0022500045,2025-11-14,New Orleans Pelicans,Los Angeles Lakers,104,118
0022500046,2025-11-14,Dallas Mavericks,LA Clippers,127,133
0022500047,2025-11-14,San Antonio Spurs,Golden State Warriors,108,109
0022500048,2025-11-21,Cleveland Cavaliers,Indiana Pacers,120,109
0022500049,2025-11-21,Boston Celtics,Brooklyn Nets,105,113
0022500050,2025-11-21,Toronto Raptors,Washington Wizards,140,110
0022500051,2025-11-21,Chicago Bulls,Miami Heat,107,143
0022500052,2025-11-21,Dallas Mavericks,New Orleans Pelicans,118,115
0022500053,2025-11-21,Phoenix Suns,Minnesota Timberwolves,114,113
0022500054,2025-11-21,Houston Rockets,Denver Nuggets,109,112
0022500055,2025-11-21,Utah Jazz,Oklahoma City Thunder,112,144
0022500056,2025-11-21,Golden State Warriors,Portland Trail Blazers,123,127
0022500057,2025-11-25,Washington Wizards,Atlanta Hawks,132,113
0022500058,2025-11-25,Philadelphia 76ers,Orlando Magic,103,144
0022500059,2025-11-25,Los Angeles Lakers,LA Clippers,135,118
0022500060,2025-11-26,Boston Celtics,Detroit Pistons,117,114
0022500061,2025-11-26,Charlotte Hornets,New York Knicks,101,129
0022500062,2025-11-26,Miami Heat,Milwaukee Bucks,106,103
0022500063,2025-11-26,Toronto Raptors,Indiana Pacers,97,95
0022500064,2025-11-26,Oklahoma City Thunder,Minnesota Timberwolves,113,105
0022500065,2025-11-26,New Orleans Pelicans,Memphis Grizzlies,128,133
0022500066,2025-11-26,Golden State Warriors,Houston Rockets,100,104
0022500067,2025-11-26,Portland Trail Blazers,San Antonio Spurs,102,115
0022500068,2025-11-26,Sacramento Kings,Phoenix Suns,100,112
0022500069,2025-11-28,Atlanta Hawks,Cleveland Cavaliers,130,123
0022500070,2025-11-28,Brooklyn Nets,Philadelphia 76ers,103,115
0022500071,2025-11-28,Charlotte Hornets,Chicago Bulls,123,116
0022500072,2025-11-28,Detroit Pistons,Orlando Magic,109,112
0022500073,2025-11-28,Indiana Pacers,Washington Wizards,119,86
0022500074,2025-11-28,New York Knicks,Milwaukee Bucks,118,109
0022500075,2025-11-28,Oklahoma City Thunder,Phoenix Suns,123,119
0022500076,2025-11-28,Denver Nuggets,San Antonio Spurs,136,139
0022500077,2025-11-28,Utah Jazz,Sacramento Kings,128,119
0022500078,2025-11-28,Los Angeles Lakers,Dallas Mavericks,129,119
0022500079,2025-11-28,LA Clippers,Memphis Grizzlies,107,112
0022500080,2025-10-22,Charlotte Hornets,Brooklyn Nets,136,117
0022500081,2025-10-22,Orlando Magic,Miami Heat,125,121
0022500082,2025-10-22,Atlanta Hawks,Toronto Raptors,118,138
0022500083,2025-10-22,Boston Celtics,Philadelphia 76ers,116,117
0022500084,2025-10-22,Chicago Bulls,Detroit Pistons,115,111
0022500085,2025-10-22,Memphis Grizzlies,New Orleans Pelicans,128,122
0022500086,2025-10-22,Milwaukee Bucks,Washington Wizards,133,120
0022500087,2025-10-22,Utah Jazz,LA Clippers,129,108
0022500088,2025-10-22,Phoenix Suns,Sacramento Kings,120,116
0022500089,2025-10-22,Portland Trail Blazers,Minnesota Timberwolves,114,118
0022500090,2025-10-24,Orlando Magic,Atlanta Hawks,107,111
0022500091,2025-10-24,Brooklyn Nets,Cleveland Cavaliers,124,131
0022500092,2025-10-24,Toronto Raptors,Milwaukee Bucks,116,122
0022500093,2025-10-24,Houston Rockets,Detroit Pistons,111,115
0022500094,2025-10-24,Memphis Grizzlies,Miami Heat,114,146
0022500095,2025-10-24,New Orleans Pelicans,San Antonio Spurs,116,120
0022500096,2025-10-24,Dallas Mavericks,Washington Wizards,107,117
0022500097,2025-10-24,Portland Trail Blazers,Golden State Warriors,139,119
0022500098,2025-10-24,Sacramento Kings,Utah Jazz,105,104
0022500099,2025-10-24,LA Clippers,Phoenix Suns,129,102
0022500100,2025-10-25,Orlando Magic,Chicago Bulls,98,110
0022500101,2025-10-25,Atlanta Hawks,Oklahoma City Thunder,100,117
0022500102,2025-10-25,Philadelphia 76ers,Charlotte Hornets,125,121
0022500103,2025-10-25,Memphis Grizzlies,Indiana Pacers,128,103
0022500104,2025-10-25,Denver Nuggets,Phoenix Suns,133,111
0022500105,2025-10-26,San Antonio Spurs,Brooklyn Nets,118,107
0022500106,2025-10-26,Detroit Pistons,Boston Celtics,119,113
0022500107,2025-10-26,Cleveland Cavaliers,Milwaukee Bucks,118,113
0022500108,2025-10-26,Miami Heat,New York Knicks,115,107
0022500109,2025-10-26,Washington Wizards,Charlotte Hornets,113,139
0022500110,2025-10-26,Minnesota Timberwolves,Indiana Pacers,114,110
0022500111,2025-10-26,Dallas Mavericks,Toronto Raptors,139,129
0022500112,2025-10-26,LA Clippers,Portland Trail Blazers,114,107
0022500113,2025-10-26,Sacramento Kings,Los Angeles Lakers,120,127
0022500114,2025-10-27,Philadelphia 76ers,Orlando Magic,136,124
0022500115,2025-10-27,Chicago Bulls,Atlanta Hawks,128,123
0022500116,2025-10-27,Houston Rockets,Brooklyn Nets,137,109
0022500117,2025-10-27,New Orleans Pelicans,Boston Celtics,90,122
0022500118,2025-10-27,San Antonio Spurs,Toronto Raptors,121,103
0022500119,2025-10-27,Dallas Mavericks,Oklahoma City Thunder,94,101
0022500120,2025-10-27,Utah Jazz,Phoenix Suns,138,134
0022500121,2025-10-27,Golden State Warriors,Memphis Grizzlies,131,118
0022500122,2025-10-27,Los Angeles Lakers,Portland Trail Blazers,108,122
0022500123,2025-10-28,Washington Wizards,Philadelphia 76ers,134,139
0022500124,2025-10-28,Miami Heat,Charlotte Hornets,144,117
0022500125,2025-10-28,Milwaukee Bucks,New York Knicks,121,111
0022500126,2025-10-28,Oklahoma City Thunder,Sacramento Kings,107,101
0022500127,2025-10-28,Golden State Warriors,LA Clippers,98,79
0022500128,2025-10-29,Boston Celtics,Cleveland Cavaliers,125,105
0022500129,2025-10-29,Detroit Pistons,Orlando Magic,135,116
0022500130,2025-10-29,Brooklyn Nets,Atlanta Hawks,112,117
0022500131,2025-10-29,Toronto Raptors,Houston Rockets,121,139
0022500132,2025-10-29,Chicago Bulls,Sacramento Kings,126,113
0022500133,2025-10-29,Dallas Mavericks,Indiana Pacers,107,105
0022500134,2025-10-29,Denver Nuggets,New Orleans Pelicans,122,88
0022500135,2025-10-29,Utah Jazz,Portland Trail Blazers,134,136
0022500136,2025-10-29,Minnesota Timberwolves,Los Angeles Lakers,115,116
0022500137,2025-10-29,Phoenix Suns,Memphis Grizzlies,113,114
0022500138,2025-10-30,Charlotte Hornets,Orlando Magic,107,123
0022500139,2025-10-30,Milwaukee Bucks,Golden State Warriors,120,110
0022500140,2025-10-30,Oklahoma City Thunder,Washington Wizards,127,108
0022500141,2025-10-30,San Antonio Spurs,Miami Heat,107,101
0022500142,2025-11-01,Milwaukee Bucks,Sacramento Kings,133,135
0022500143,2025-11-01,Charlotte Hornets,Minnesota Timberwolves,105,122
0022500144,2025-11-01,Indiana Pacers,Golden State Warriors,114,109
0022500145,2025-11-01,Washington Wizards,Orlando Magic,94,125
0022500146,2025-11-01,Boston Celtics,Houston Rockets,101,128
0022500148,2025-11-02,Oklahoma City Thunder,New Orleans Pelicans,137,106
0022500149,2025-11-02,Brooklyn Nets,Philadelphia 76ers,105,129
0022500150,2025-11-02,Charlotte Hornets,Utah Jazz,126,103
0022500151,2025-11-02,Cleveland Cavaliers,Atlanta Hawks,117,109
0022500152,2025-11-02,Toronto Raptors,Memphis Grizzlies,117,104
0022500153,2025-11-02,New York Knicks,Chicago Bulls,128,116
0022500154,2025-11-02,Phoenix Suns,San Antonio Spurs,130,118
0022500155,2025-11-02,Los Angeles Lakers,Miami Heat,130,120
0022500156,2025-11-03,Brooklyn Nets,Minnesota Timberwolves,109,125
0022500157,2025-11-03,Indiana Pacers,Milwaukee Bucks,115,117
0022500158,2025-11-03,Boston Celtics,Utah Jazz,103,105
0022500159,2025-11-03,New York Knicks,Washington Wizards,119,102
0022500160,2025-11-03,Houston Rockets,Dallas Mavericks,110,102
0022500161,2025-11-03,Memphis Grizzlies,Detroit Pistons,106,114
0022500162,2025-11-03,Denver Nuggets,Sacramento Kings,130,124
0022500163,2025-11-03,Portland Trail Blazers,Los Angeles Lakers,115,123
0022500164,2025-11-03,LA Clippers,Miami Heat,119,120
0022500165,2025-11-04,Toronto Raptors,Milwaukee Bucks,128,100
0022500166,2025-11-04,Atlanta Hawks,Orlando Magic,127,112
0022500167,2025-11-04,Chicago Bulls,Philadelphia 76ers,113,111
0022500168,2025-11-04,New Orleans Pelicans,Charlotte Hornets,116,112
0022500169,2025-11-04,Golden State Warriors,Phoenix Suns,118,107
0022500170,2025-11-04,LA Clippers,Oklahoma City Thunder,107,126
0022500171,2025-11-05,Cleveland Cavaliers,Philadelphia 76ers,132,121
0022500172,2025-11-05,Detroit Pistons,Utah Jazz,114,103
0022500173,2025-11-05,Indiana Pacers,Brooklyn Nets,103,112
0022500174,2025-11-05,Boston Celtics,Washington Wizards,136,107
0022500175,2025-11-05,New York Knicks,Minnesota Timberwolves,137,114
0022500176,2025-11-05,Memphis Grizzlies,Houston Rockets,109,124
0022500177,2025-11-05,Dallas Mavericks,New Orleans Pelicans,99,101
0022500178,2025-11-05,Denver Nuggets,Miami Heat,122,112
0022500179,2025-11-05,Los Angeles Lakers,San Antonio Spurs,118,116
0022500180,2025-11-05,Portland Trail Blazers,Oklahoma City Thunder,121,119
0022500181,2025-11-05,Sacramento Kings,Golden State Warriors,121,116
0022500182,2025-11-06,Phoenix Suns,LA Clippers,115,102
0022500183,2025-11-08,Washington Wizards,Dallas Mavericks,105,111
0022500184,2025-11-08,Philadelphia 76ers,Toronto Raptors,130,120
0022500185,2025-11-08,Atlanta Hawks,Los Angeles Lakers,122,102
0022500186,2025-11-08,Cleveland Cavaliers,Chicago Bulls,128,122
0022500187,2025-11-08,Miami Heat,Portland Trail Blazers,136,131
0022500188,2025-11-08,San Antonio Spurs,New Orleans Pelicans,126,119
0022500189,2025-11-08,Denver Nuggets,Indiana Pacers,117,100
0022500190,2025-11-08,LA Clippers,Phoenix Suns,103,114
0022500191,2025-11-09,Milwaukee Bucks,Houston Rockets,115,122
0022500192,2025-11-09,New York Knicks,Brooklyn Nets,134,98
0022500193,2025-11-09,Orlando Magic,Boston Celtics,107,111
0022500194,2025-11-09,Memphis Grizzlies,Oklahoma City Thunder,100,114
0022500195,2025-11-09,Philadelphia 76ers,Detroit Pistons,108,111
0022500196,2025-11-09,Golden State Warriors,Indiana Pacers,114,83
0022500197,2025-11-09,Sacramento Kings,Minnesota Timberwolves,117,144
0022500198,2025-11-10,Charlotte Hornets,Los Angeles Lakers,111,121
0022500199,2025-11-10,Detroit Pistons,Washington Wizards,137,135
0022500200,2025-11-10,Orlando Magic,Portland Trail Blazers,115,112
0022500201,2025-11-10,Miami Heat,Cleveland Cavaliers,140,138
0022500202,2025-11-10,Chicago Bulls,San Antonio Spurs,117,121
0022500203,2025-11-10,Dallas Mavericks,Milwaukee Bucks,114,116
0022500204,2025-11-10,Phoenix Suns,New Orleans Pelicans,121,98
0022500205,2025-11-10,Utah Jazz,Minnesota Timberwolves,113,120
0022500206,2025-11-10,LA Clippers,Atlanta Hawks,102,105
0022500207,2025-11-11,Brooklyn Nets,Toronto Raptors,109,119
0022500208,2025-11-11,New York Knicks,Memphis Grizzlies,133,120
0022500209,2025-11-11,Philadelphia 76ers,Boston Celtics,102,100
0022500210,2025-11-11,Oklahoma City Thunder,Golden State Warriors,126,102
0022500211,2025-11-11,Utah Jazz,Indiana Pacers,152,128
0022500212,2025-11-11,Sacramento Kings,Denver Nuggets,108,122
0022500213,2025-11-12,Charlotte Hornets,Milwaukee Bucks,111,100
0022500214,2025-11-12,Detroit Pistons,Chicago Bulls,124,113
0022500215,2025-11-12,New York Knicks,Orlando Magic,107,124
0022500216,2025-11-12,Boston Celtics,Memphis Grizzlies,131,95
0022500217,2025-11-12,Miami Heat,Cleveland Cavaliers,116,130
0022500218,2025-11-12,Houston Rockets,Washington Wizards,135,112
0022500219,2025-11-12,New Orleans Pelicans,Portland Trail Blazers,117,125
0022500220,2025-11-12,San Antonio Spurs,Golden State Warriors,120,125
0022500221,2025-11-12,Dallas Mavericks,Phoenix Suns,114,123
0022500222,2025-11-12,Oklahoma City Thunder,Los Angeles Lakers,121,92
0022500223,2025-11-12,Sacramento Kings,Atlanta Hawks,100,133
0022500224,2025-11-12,LA Clippers,Denver Nuggets,116,130
0022500225,2025-11-13,Cleveland Cavaliers,Toronto Raptors,113,126
0022500226,2025-11-13,Phoenix Suns,Indiana Pacers,133,98
0022500227,2025-11-13,Utah Jazz,Atlanta Hawks,122,132
0022500228,2025-11-15,Cleveland Cavaliers,Memphis Grizzlies,108,100
0022500229,2025-11-15,Charlotte Hornets,Oklahoma City Thunder,96,109
0022500230,2025-11-15,Indiana Pacers,Toronto Raptors,111,129
0022500231,2025-11-15,Milwaukee Bucks,Los Angeles Lakers,95,119
0022500232,2025-11-15,Minnesota Timberwolves,Denver Nuggets,112,123
0022500233,2025-11-16,Boston Celtics,LA Clippers,121,118
0022500234,2025-11-16,San Antonio Spurs,Sacramento Kings,123,110
0022500235,2025-11-16,Washington Wizards,Brooklyn Nets,106,129
0022500236,2025-11-16,Houston Rockets,Orlando Magic,117,113
0022500237,2025-11-16,New Orleans Pelicans,Golden State Warriors,106,124
0022500238,2025-11-16,Dallas Mavericks,Portland Trail Blazers,138,133
0022500239,2025-11-16,Phoenix Suns,Atlanta Hawks,122,124
0022500240,2025-11-16,Utah Jazz,Chicago Bulls,150,147
0022500241,2025-11-17,Cleveland Cavaliers,Milwaukee Bucks,118,106
0022500242,2025-11-17,Detroit Pistons,Indiana Pacers,127,112
0022500243,2025-11-17,Philadelphia 76ers,LA Clippers,110,108
0022500244,2025-11-17,Miami Heat,New York Knicks,115,113
0022500245,2025-11-17,Toronto Raptors,Charlotte Hornets,110,108
0022500246,2025-11-17,Minnesota Timberwolves,Dallas Mavericks,120,96
0022500247,2025-11-17,New Orleans Pelicans,Oklahoma City Thunder,109,126
0022500248,2025-11-17,Denver Nuggets,Chicago Bulls,127,130
0022500249,2025-11-18,Orlando Magic,Golden State Warriors,121,113
0022500250,2025-11-18,Brooklyn Nets,Boston Celtics,99,113
0022500251,2025-11-18,Atlanta Hawks,Detroit Pistons,112,120
0022500252,2025-11-18,San Antonio Spurs,Memphis Grizzlies,111,101
0022500253,2025-11-18,Los Angeles Lakers,Utah Jazz,140,126
0022500254,2025-11-18,Portland Trail Blazers,Phoenix Suns,110,127
0022500255,2025-11-19,Cleveland Cavaliers,Houston Rockets,104,114
0022500256,2025-11-19,Indiana Pacers,Charlotte Hornets,127,118
0022500257,2025-11-19,Miami Heat,Golden State Warriors,110,96
0022500258,2025-11-19,Philadelphia 76ers,Toronto Raptors,112,121
0022500259,2025-11-19,Minnesota Timberwolves,Washington Wizards,120,109
0022500260,2025-11-19,New Orleans Pelicans,Denver Nuggets,118,125
0022500261,2025-11-19,Oklahoma City Thunder,Sacramento Kings,113,99
0022500262,2025-11-19,Dallas Mavericks,New York Knicks,111,113
0022500263,2025-11-19,Portland Trail Blazers,Chicago Bulls,121,122
0022500264,2025-11-20,Orlando Magic,LA Clippers,129,101
0022500265,2025-11-20,Memphis Grizzlies,Sacramento Kings,137,96
0022500266,2025-11-20,Milwaukee Bucks,Philadelphia 76ers,114,123
0022500267,2025-11-20,San Antonio Spurs,Atlanta Hawks,135,126
0022500268,2025-11-22,Charlotte Hornets,LA Clippers,116,131
0022500269,2025-11-22,Orlando Magic,New York Knicks,133,121
0022500270,2025-11-22,New Orleans Pelicans,Atlanta Hawks,98,115
0022500271,2025-11-22,Chicago Bulls,Washington Wizards,121,120
0022500272,2025-11-22,Milwaukee Bucks,Detroit Pistons,116,129
0022500273,2025-11-22,Dallas Mavericks,Memphis Grizzlies,96,102
0022500274,2025-11-22,Denver Nuggets,Sacramento Kings,123,128
0022500275,2025-11-23,Philadelphia 76ers,Miami Heat,117,127
0022500276,2025-11-23,Atlanta Hawks,Charlotte Hornets,113,110
0022500277,2025-11-23,Boston Celtics,Orlando Magic,138,129
0022500278,2025-11-23,Cleveland Cavaliers,LA Clippers,120,105
0022500279,2025-11-23,Toronto Raptors,Brooklyn Nets,119,109
0022500280,2025-11-23,Oklahoma City Thunder,Portland Trail Blazers,122,95
0022500281,2025-11-23,Phoenix Suns,San Antonio Spurs,111,102
0022500282,2025-11-23,Utah Jazz,Los Angeles Lakers,106,108
0022500283,2025-11-24,Indiana Pacers,Detroit Pistons,117,122
0022500284,2025-11-24,Toronto Raptors,Cleveland Cavaliers,110,99
0022500285,2025-11-24,Brooklyn Nets,New York Knicks,100,113
0022500286,2025-11-24,Miami Heat,Dallas Mavericks,106,102
0022500287,2025-11-24,Memphis Grizzlies,Denver Nuggets,115,125
0022500288,2025-11-24,Milwaukee Bucks,Portland Trail Blazers,103,115
0022500289,2025-11-24,New Orleans Pelicans,Chicago Bulls,143,130
0022500290,2025-11-24,Phoenix Suns,Houston Rockets,92,114
0022500291,2025-11-24,Golden State Warriors,Utah Jazz,134,117
0022500292,2025-11-24,Sacramento Kings,Minnesota Timberwolves,117,112
0022500293,2025-11-29,Minnesota Timberwolves,Boston Celtics,119,115
0022500294,2025-11-29,Charlotte Hornets,Toronto Raptors,118,111
0022500295,2025-11-29,Indiana Pacers,Chicago Bulls,103,101
0022500296,2025-11-29,Miami Heat,Detroit Pistons,135,138
0022500297,2025-11-29,Milwaukee Bucks,Brooklyn Nets,116,99
0022500298,2025-11-29,Golden State Warriors,New Orleans Pelicans,104,96
0022500299,2025-11-29,Phoenix Suns,Denver Nuggets,112,130
0022500300,2025-11-29,LA Clippers,Dallas Mavericks,110,114
0022500301,2025-11-30,Utah Jazz,Houston Rockets,101,129
0022500302,2025-11-30,Cleveland Cavaliers,Boston Celtics,115,117
0022500303,2025-11-30,New York Knicks,Toronto Raptors,116,94
0022500304,2025-11-30,Philadelphia 76ers,Atlanta Hawks,134,142
0022500305,2025-11-30,Portland Trail Blazers,Oklahoma City Thunder,115,123
0022500306,2025-11-30,Minnesota Timberwolves,San Antonio Spurs,125,112
0022500307,2025-11-30,Sacramento Kings,Memphis Grizzlies,107,115
0022500308,2025-11-30,Los Angeles Lakers,New Orleans Pelicans,133,121
0022500309,2025-12-01,Detroit Pistons,Atlanta Hawks,99,98
0022500310,2025-12-01,Indiana Pacers,Cleveland Cavaliers,119,135
0022500311,2025-12-01,Washington Wizards,Milwaukee Bucks,129,126
0022500312,2025-12-01,Brooklyn Nets,Charlotte Hornets,116,103
0022500313,2025-12-01,Miami Heat,LA Clippers,140,123
0022500314,2025-12-01,Orlando Magic,Chicago Bulls,125,120
0022500315,2025-12-01,Denver Nuggets,Dallas Mavericks,121,131
0022500316,2025-12-01,Utah Jazz,Houston Rockets,133,125
0022500317,2025-12-01,Los Angeles Lakers,Phoenix Suns,108,125
0022500318,2025-12-02,Philadelphia 76ers,Washington Wizards,121,102
0022500319,2025-12-02,Toronto Raptors,Portland Trail Blazers,121,118
0022500320,2025-12-02,Boston Celtics,New York Knicks,123,117
0022500321,2025-12-02,New Orleans Pelicans,Minnesota Timberwolves,142,149
0022500322,2025-12-02,San Antonio Spurs,Memphis Grizzlies,126,119
0022500323,2025-12-02,Golden State Warriors,Oklahoma City Thunder,112,124
0022500324,2025-12-03,Cleveland Cavaliers,Portland Trail Blazers,110,122
0022500325,2025-12-03,Indiana Pacers,Denver Nuggets,120,135
